,sicbro_id,RA_DEG,DEC_DEG,MEAN_XCOL,MEAN_YCOL,F062,F087,F106,F129,F158,F184,F213,F146,transitHost,dimEB,blendedEB,lowmassEB,lowRedNoise,hiRedNoise,variable,F087_flux,F087_flux_err,F146_flux,F146_flux_err,F213_flux,F213_flux_err
26,7908,268.4956496925355,-29.20687180186703,2039.28692669866,1959.0965452224511,24.5531,23.0198,22.3743,21.7287,21.5332,21.6021,21.6711,21.639,1,0,0,0,0,1,1,64.19876419895115,8.012413132068962,229.00589826438934,15.132940833307627,222.33440275791347,14.91088202481374
27,8031,268.4968431732617,-29.20457327925767,2031.417920844816,2044.7107487731064,26.2102,24.4852,23.7462,23.0071,22.8116,22.8618,22.912,22.9099,0,0,0,0,0,0,0,16.648176371051616,4.080217686723542,71.03733628275498,8.428364982768306,70.90007068343202,8.42021797125419
28,8550,268.4901649068637,-29.20743169192113,1911.4564219790968,1860.308713971817,24.5,23.0021,22.394,21.786,21.5879,21.6582,21.7286,21.6953,1,0,0,0,0,0,1,65.25392931205462,8.077990425350517,217.43360586605988,14.745630059989294,210.86605260258298,14.521227654801882
29,8861,268.4883708900299,-29.208060475223377,1876.9525509289904,1814.8680649811297,20.969,20.2447,19.9164,19.5881,19.3518,19.4838,19.6158,19.4991,0,0,0,0,0,0,0,827.1164687194387,28.759632624903933,1643.6398726179889,40.541828678760766,1476.1370068087988,38.420528455616
30,8866,268.49319838983104,-29.20300061456329,1914.5837127289117,2036.3487593687955,23.0919,22.0253,21.5934,21.1616,21.0027,21.0856,21.1684,21.0994,1,0,0,0,1,0,1,160.4451775407889,12.666695604647208,376.43211528960893,19.40185855245855,353.25365833817204,18.795043451351
31,9130,268.4877903347072,-29.20709949628945,1846.6940053999776,1834.4629999570896,21.136,20.2004,19.826,19.4516,19.2025,19.3223,19.4422,19.3501,0,0,0,0,0,0,0,861.5622626653906,29.352380868770943,1885.4137420051302,43.421351222700686,1732.0748995847841,41.61820394472573
32,9216,268.49545434948567,-29.20524960757338,2007.8118280450556,2003.9503621468448,24.3023,22.8222,22.2178,21.6133,21.4206,21.493,21.5654,21.5266,1,0,0,0,1,0,1,77.01346579538128,8.77573163875134,253.98418101653007,15.936881157131406,245.0680347796522,15.654648982958776
33,9626,268.49330266876814,-29.209120414659765,2017.5240604743817,1857.6454828668336,23.389,22.058,21.4489,20.8399,20.5912,20.6912,20.7911,20.7307,0,0,0,0,0,0,0,155.68496312825914,12.477378055034604,528.6480908599174,22.992348528584838,500.0422125584327,22.361623656578086
34,9852,268.49176005715145,-29.207141563414392,1946.545997288504,1892.7895707892,24.1165,22.632,21.972,21.3121,21.092,21.1664,21.2408,21.2098,0,0,0,0,0,0,0,91.75857663700758,9.579069716679568,340.0373853920488,18.440102640496576,330.4659120565856,18.1787214087401
35,10087,268.4873923368807,-29.20511530927956,1804.2182596687549,1886.9363495651944,21.3639,20.4919,20.0849,19.6779,19.4624,19.5747,19.6869,19.5935,0,0,0,0,0,0,0,658.6984904314958,25.665122061496138,1506.768970945967,38.81712213631978,1382.568532849275,37.182906460486315
36,10191,268.4935054269406,-29.206126928642263,1973.5102293225416,1948.8653884913604,24.3694,22.9535,22.3656,21.7776,21.6138,21.6863,21.7587,21.7083,1,0,0,0,0,0,1,68.24120204152977,8.2608233270982,214.84570107429488,14.657615804567088,205.1004759360673,14.321329405333406
37,10378,268.4927895017805,-29.20950289406413,2010.9762487691537,1838.6794497762648,22.8262,21.6954,21.172,20.6486,20.4918,20.5687,20.6456,20.5853,0,0,0,0,0,0,0,217.41358041309678,14.744951014265757,604.4030790826299,24.5846106148263,571.7506515008165,23.911308025719055
38,10568,268.49564856397774,-29.204154351368494,1994.7071447178605,2039.1271698358205,23.4402,22.1455,21.5979,21.0504,20.8116,20.911,21.0104,20.9469,0,0,0,0,0,0,0,143.63049861977484,11.984594220071651,433.1982246864586,20.81341453693888,408.58899787174204,20.21358448845088
39,11228,268.49397225954704,-29.2058705882852,1980.969173112888,1963.4207965234864,25.4112,23.751,23.0714,22.3918,22.1813,22.2354,22.2896,22.2871,0,0,0,0,0,0,0,32.73758719449607,5.72167695649589,126.06852399175145,11.228024046632223,125.77857443258542,11.215104744610521
40,11335,268.4933510739483,-29.210071492225207,2034.3262948088927,1830.356322142711,23.6736,22.3376,21.7975,21.2574,21.0431,21.1199,21.1966,21.1595,1,0,0,0,0,0,1,120.33907478837651,10.969916808635173,356.16125104435434,18.872234924469183,344.19667301824995,18.552538182638244
41,11607,268.4893810051925,-29.20399141533692,1835.4675784554436,1949.882863665974,23.9132,22.4679,21.8847,21.3015,21.0734,21.1486,21.2238,21.1947,0,0,0,0,0,0,0,106.73003900732648,10.331023134584807,344.79953237323343,18.568778429752278,335.6809287849163,18.3215973316989
42,12067,268.4894969642753,-29.20512296118585,1856.917252531976,1918.2921300435305,25.562,23.9545,23.2672,22.58,22.3814,22.4401,22.4989,22.4843,0,0,0,0,0,0,0,27.142301360529444,5.209827382987794,105.13000090461311,10.25329219834357,103.72577016414103,10.184584928417113
43,12282,268.48879541183,-29.208013554085184,1886.7874621263572,1822.6201693735584,17.2344,16.881,16.8172,16.7534,16.8439,17.0154,17.1869,16.8763,0,0,0,0,0,0,0,18325.113286728152,135.3702821402399,18404.61208160071,135.6635989556547,13825.685328492737,117.58267444012633
44,13830,268.4875921618894,-29.207050325899857,1840.937541622795,1832.9376721046567,21.8292,20.924,20.5472,20.1704,19.9267,20.0353,20.144,20.0676,0,0,0,0,0,0,0,442.4321398568008,21.03407092925192,973.6585192219607,31.203501714101908,907.5000719711344,30.124741857336044
45,13872,268.4920072075143,-29.204393597967968,1907.6654750577172,1977.4429025717488,25.2099,23.5569,22.8749,22.193,21.978,22.0334,22.0888,22.0862,0,0,0,0,0,0,0,39.14593477553536,6.256671221626989,151.69339391927048,12.31638721051228,151.33057009223282,12.301649080193794
46,13992,268.495215387095,-29.203806210020087,1978.178239917643,2042.8828234370064,25.094,23.5402,22.8599,22.1797,21.9684,22.0344,22.1004,22.0793,0,0,0,0,0,0,0,39.75270337872562,6.304974494692712,152.6604956705987,12.355585606137764,149.7223614079099,12.236108916150995
47,14614,268.4934990712034,-29.210601602045426,2046.7144025096768,1816.961641420038,25.1572,23.5786,22.9354,22.2922,22.086,22.1472,22.2085,22.193,0,0,0,0,0,0,0,38.37131369726176,6.194458305393763,137.4822617359705,11.725283013043672,135.5335045290395,11.641885780621605
48,14744,268.48882020002924,-29.204090621975705,1823.0851041611156,1938.545422545436,22.867,21.7227,21.2058,20.6888,20.5108,20.5879,20.665,20.6128,0,0,0,0,0,0,0,212.01503901842995,14.560736211415614,589.2867391100469,24.27522891982786,561.6253059036032,23.698635106343218
